,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
14,Lasa,IT,31.03,overcast clouds,46.6166,10.7002,"Hotel ""Drei Kreuz"""
28,Juneau,US,32.22,broken clouds,58.3019,-134.4197,Ramada by Wyndham Juneau
31,Jamestown,US,29.01,clear sky,42.097,-79.2353,DoubleTree Jamestown
32,Margate,GB,30.31,scattered clouds,51.3813,1.3862,The Reading Rooms
33,Tasiilaq,GL,23.16,scattered clouds,65.6145,-37.6368,Angmagssalik
34,Ushuaia,AR,44.26,scattered clouds,-54.8,-68.3,Apart Hotel Aires del Beagle
35,Witney,GB,32.29,mist,51.7836,-1.4854,The Witney Hotel
45,Longyearbyen,SJ,21.04,scattered clouds,78.2186,15.6401,The Vault
51,Punta Arenas,CL,48.31,scattered clouds,-53.15,-70.9167,Hotel Lacolet
52,Greencastle,US,45.9,fog,39.6445,-86.8647,Inn at DePauw
59,Thompson,CA,10.56,broken clouds,55.7435,-97.8558,Thompson Inn
66,Kodiak,US,29.71,clear sky,57.79,-152.4072,Shelikof Lodge
74,Redcar,GB,32.36,broken clouds,54.6166,-1.06,Claxton House Hotel
100,Ilulissat,GL,37.42,overcast clouds,69.2167,-51.1,Best Western Plus Hotel Ilulissat
102,Severo-Kurilsk,RU,27.91,overcast clouds,50.6789,156.125,"""Дом рыбака"""
104,Fredericksburg,US,40.62,clear sky,38.3032,-77.4605,Kenmore Inn
105,Jumla,NP,41.47,clear sky,29.2747,82.1838,Amar Sandesh Guesthouse
111,Hamilton,US,48.72,mist,39.1834,-84.5333,North Vista Manor
119,Raahe,FI,19.49,overcast clouds,64.6833,24.4833,Aparthotel Forenom
124,Komsomolskiy,UZ,27.32,mist,40.4272,71.7189,"Hotel ""Ikat House"""
156,Szczytno,PL,31.93,mist,53.5626,20.9875,Hotel Krystyna
157,Westport,US,38.75,clear sky,41.1415,-73.3579,Norwalk Inn and Conference Center
171,Korla,CN,23.52,overcast clouds,41.7597,86.1469,Silver Star Hotel
174,Fortuna,US,47.66,overcast clouds,40.5982,-124.1573,Comfort Inn & Suites Redwood Country
176,Ucar,AZ,41.18,overcast clouds,40.519,47.6542,Otel
187,Havre-Saint-Pierre,CA,15.8,clear sky,50.2334,-63.5986,Complexe MV
190,Escanaba,US,32.31,overcast clouds,45.7453,-87.0646,Magnuson Grand Pioneer Inn and Suites
